location-long,location-lat,Taxa,utm-easting,utm-northing,utm-zone
-76.03,-2.86,Coccyzus americanus,385522.4157,9683830.087,18S
-75.03,-3.6,Coccyzus americanus,496668.2943,9602086.525,18S
-75.29,-1.31,Coccyzus americanus,467738.5,9855203.52,18S
-75.66,-8.29,Coccyzus americanus,427319.3083,9083581.614,18S
-75.28,-3.48,Coccyzus americanus,468899.9551,9615346.081,18S
-74.65,-3.81,Coccyzus americanus,538860.9769,9578866.41,18S
-75.39,-3.07,Coccyzus americanus,456664.295,9660661.6,18S
-76.36,-6.49,Coccyzus americanus,349615.5745,9282427.507,18S
-78.22,0.04,Coccyzus americanus,809466.5897,4426.446339,17N
-80.58,6.9,Coccyzus americanus,546399.6432,762714.667,17N
-84.36,7.52,Coccyzus americanus,791356.2401,832112.6427,16N
-86.66,8.24,Coccyzus americanus,537445.697,910846.3014,16N
-86.76,7.9,Coccyzus americanus,526454.2847,873250.3383,16N
-87.11,11.04,Coccyzus americanus,487984.7936,1220404.467,16N
-86.69,10.67,Coccyzus americanus,533902.8571,1179508.552,16N
-84.41,7.12,Coccyzus americanus,786089.5478,787816.367,16N
-85.37,5.31,Coccyzus americanus,680629.1044,587169.217,16N
-87.67,8.56,Coccyzus americanus,426269.1845,946271.7425,16N
-89.97,13.66,Coccyzus americanus,178672.7316,1512092.596,16N
-100.58,21.78,Coccyzus americanus,336645.6078,2409312.233,14N
-104.02,24.4,Coccyzus americanus,599369.5546,2698864.352,13N
-111.7,29.06,Coccyzus americanus,431858.5561,3214835.322,12N
-111.55,29.26,Coccyzus americanus,446564.2136,3236917.306,12N
-111.32,33.74,Coccyzus americanus,470358.905,3733374.277,12N
-110.92,34.27,Coccyzus americanus,507364.3711,3792096.596,12N
-110.99,30.64,Coccyzus americanus,500958.2281,3389706.045,12N
-112.32,30.53,Coccyzus americanus,373365.5318,3378257.12,12N
-113.45,28.42,Coccyzus americanus,260009.9803,3146172.337,12N
-113.3,28.67,Coccyzus americanus,275239.5262,3173590.414,12N
-115.16,31.61,Coccyzus americanus,674543.0781,3498677.738,11N
-114.89,32.07,Coccyzus americanus,699168.9988,3550142.444,11N
-113.73,30.89,Coccyzus americanus,239031.9337,3420604.661,12N
-116.26,30.52,Coccyzus americanus,570997.221,3376640.693,11N
-114.37,33.54,Coccyzus americanus,744209.7813,3714252.11,11N
-114.47,31.63,Coccyzus americanus,739962.0352,3502204.728,11N
